plants,plant_units,distance_to_loc,Latitude,Longitude,stack_height,plume_rise,release_height_low,release_height_high,emissions_t
Suralaya,Merak power station Unit 1; Merak power station Unit 1; Merak power station Unit 1; Merak power station Unit 2; Merak power station Unit 2; Merak power station Unit 2; Banten Unit 1 / Banten Serang; Banten Unit 1 / Banten Serang; Banten Unit 1 / Banten Serang; Suralaya Unit 1; Suralaya Unit 1; Suralaya Unit 1; Suralaya Unit 2; Suralaya Unit 2; Suralaya Unit 2; Suralaya Unit 5; Suralaya Unit 5; Suralaya Unit 5; Suralaya Unit 6; Suralaya Unit 6; Suralaya Unit 6; Suralaya Unit 7; Suralaya Unit 7; Suralaya Unit 7; Suralaya Unit 8; Suralaya Unit 8; Suralaya Unit 8; Suralaya Unit 3; Suralaya Unit 4; Suralaya Unit 3; Suralaya Unit 4; Suralaya Unit 3; Suralaya Unit 4,96091.34174,-5.88942,106.0381182,221.1111111,88.72438083,265.4733015,398.5598728,202736.0615
Jawa-7,Jawa-7 Unit 1; Jawa-7 Unit 1; Jawa-7 Unit 1; Jawa-7 Unit 2; Jawa-7 Unit 2; Jawa-7 Unit 2,85814.85213,-5.99169,106.1008,200,69.83189759,234.9159488,339.6637952,61533.16963
Cirebon,Cirebon Unit 1; Cirebon Unit 1; Cirebon Unit 1,205204.7316,-6.77029,108.6149,215,77.11844841,253.5592242,369.2368968,37259.69552
Cilacap,Cilacap Unit 1; Cilacap Unit 1; Cilacap Unit 1; Cilacap Unit 2; Cilacap Unit 2; Cilacap Unit 2; Cilacap Unit 3; Cilacap Unit 3; Cilacap Unit 3; Jawa-8; Jawa-8; Jawa-8,297428.6454,-7.684495,109.0931,208.75,57.71399001,237.606995,324.17798,80647.17982
Labuan,Labuan Unit 1; Labuan Unit 1; Labuan Unit 1; Labuan Unit 2; Labuan Unit 2; Labuan Unit 2,114323.911,-6.39218,105.8278,215,53.61915809,241.809579,322.2383162,22976.48849
Lontar,Lontar Unit 1; Lontar Unit 1; Lontar Unit 1; Lontar Unit 2; Lontar Unit 2; Lontar Unit 2; Lontar Unit 3; Lontar Unit 3; Lontar Unit 3,45332.79348,-6.05887,106.4643,127,58.4578348,156.2289174,243.9156696,54020.01461
Muara Karang,Muara Karang Unit 1; Muara Karang Unit 1; Muara Karang Unit 1; Muara Karang Unit 2; Muara Karang Unit 2; Muara Karang Unit 2,12744.20104,-6.110469173,106.7863788,190,60.72307348,220.3615367,311.446147,22255.31669
Indramayu,Indramayu Unit 1; Indramayu Unit 1; Indramayu Unit 1; Indramayu Unit 2; Indramayu Unit 2; Indramayu Unit 2; Indramayu Unit 3; Indramayu Unit 3; Indramayu Unit 3,124546.8013,-6.27474,107.9704,220,77.50316577,258.7515829,375.0063315,21478.63974
Pelabuhan Ratu,Pelabuhan Ratu Unit 1; Pelabuhan Ratu Unit 1; Pelabuhan Ratu Unit 1; Pelabuhan Ratu Unit 2; Pelabuhan Ratu Unit 2; Pelabuhan Ratu Unit 2; Pelabuhan Ratu Unit 3; Pelabuhan Ratu Unit 3; Pelabuhan Ratu Unit 3,96503.49454,-7.0242000000000004,106.5464,208,49.99154772,232.9957739,307.9830954,38556.43617
DSS Serang power station,DSS Serang power station Unit 1; DSS Serang power station Unit 1; DSS Serang power station Unit 1; DSS Serang power station Unit 2; DSS Serang power station Unit 2; DSS Serang power station Unit 2; DSS Serang power station Unit 3; DSS Serang power station Unit 3; DSS Serang power station Unit 3; DSS Serang power station Unit 4; DSS Serang power station Unit 4; DSS Serang power station Unit 4,62205.37671,-6.12544,106.2892,126.25,31.7231771,142.1115886,189.6963542,8120.561991
Cikarang Babelan power station,Cikarang Babelan power station Unit 1; Cikarang Babelan power station Unit 1; Cikarang Babelan power station Unit 1; Cikarang Babelan power station Unit 2; Cikarang Babelan power station Unit 2; Cikarang Babelan power station Unit 2,25039.61867,-6.11607,107.052,145,36.67833493,163.3391675,218.35666990000001,13412.16408
FAJAR power station,FAJAR power station Unit 1; FAJAR power station Unit 1; FAJAR power station Unit 1,31581.65579,-6.27265,107.124,135,34.23906813,152.1195341,203.4781363,2552.176626
Pindo-Deli-Ii power station,Pindo-Deli-Ii power station Unit 1; Pindo-Deli-Ii power station Unit 1; Pindo-Deli-Ii power station Unit 1,58441.71687,-6.38547,107.3436,145,38.90126432,164.4506322,222.8025286,2320.160569
Purwakarta Indorama Power Station,Purwakarta Indorama Power Station Unit 1; Purwakarta Indorama Power Station Unit 1; Purwakarta Indorama Power Station Unit 1; Purwakarta Indorama Power Station Unit 2; Purwakarta Indorama Power Station Unit 2; Purwakarta Indorama Power Station Unit 2,73578.69006,-6.55392,107.4137,145,38.90126432,164.4506322,222.8025286,2784.192683
